#{"t_start": 1524074778.0551548, "env_id": "Ant-v2"}
r,l,t
-191.759053,49,1.824514
-179.273259,47,1.906343
-294.651733,84,2.05169
-43.722054,13,2.073117
-132.26563,52,2.161509
-133.978562,35,2.21649
-71.346211,24,2.255033
-55.715264,17,2.281588
-34.450646,12,2.301053
-59.795955,13,2.323097
-2975.453746,1000,4.063264
-23.518723,13,4.084713
-144.721668,47,4.163185
-109.055634,46,4.240811
-55.057354,24,4.281026
-279.252296,78,4.409807
-345.03871,109,4.592682
-203.646305,62,4.696787
-46.118785,12,4.716269
-72.909137,26,4.75949
-92.474059,37,4.821711
-72.228504,31,4.873113
-50.249726,15,4.898368
-43.838,17,4.926455
-3087.65946,1000,7.956315
-63.665272,30,8.006096
-57.362039,16,8.032894
-97.096602,26,8.075745
-37.961334,11,8.09439
-100.049855,57,8.188736
-120.425718,44,8.262773
-75.792911,26,8.304512
-39.655105,11,8.323227
-42.092936,16,8.349678
-49.460766,17,8.37826
-204.619454,47,8.456925
-366.555666,127,8.671771
-388.594829,141,8.903892
-111.655034,39,8.969889
-118.935951,45,9.04408
-46.192242,20,9.07561
-95.465899,27,9.119077
-29.326311,20,9.152725
-84.116853,28,9.198944
-46.940303,14,9.221133
-95.437586,49,9.299504
-103.042527,30,9.348123
-212.15108,70,9.462819
-2764.708946,1000,12.501117
-428.120242,136,12.730098
-70.600707,24,12.769575
-122.229457,57,12.864197
-118.226183,43,12.935654
-142.107637,49,13.019986
-2809.698775,1000,14.716009
-128.687099,44,14.794988
-94.2492,33,16.149652
-70.508028,15,16.177674
-49.082807,14,16.201661
-100.205342,35,16.262747
-2570.466251,1000,17.965143
-229.086984,78,18.0967
-2649.799287,1000,21.148028
-100.303369,33,21.205028
-176.082665,55,21.298323
-63.831333,26,21.342353
-28.587241,12,21.362935
-118.557828,38,21.426903
-177.143704,65,21.535518
-31.259293,13,21.557429
-230.546389,91,21.710977
-331.08938,111,21.898
-2684.981404,1000,23.592495
-69.550374,21,23.627635
-66.182414,20,23.66072
-536.738876,197,23.993525
-163.091579,72,24.115375
-154.40845,40,24.184145
-227.586356,109,24.368212
-248.610036,95,25.883481
-25.755535,11,25.898901
-72.769367,17,25.923727
-161.942323,76,26.057207
-97.098444,33,26.113045
-142.919357,75,26.240291
-67.463012,30,26.289968
-163.914233,53,26.378454
-81.923389,33,26.434477
-270.47458,70,26.550627
-55.453802,25,26.593293
-32.383764,11,26.612112
