#{"t_start": 1524075484.6549065, "env_id": "Ant-v2"}
r,l,t
-191.759053,49,1.889034
-179.273259,47,1.980463
-294.651733,84,2.141149
-43.722054,13,2.166336
-132.26563,52,2.265962
-133.978562,35,2.331788
-71.346211,24,2.38185
-55.715264,17,2.417332
-34.450646,12,2.44164
-59.795955,13,2.467612
-2975.453746,1000,4.508598
-23.518723,13,4.534284
-144.721668,47,4.626162
-109.055634,46,4.716517
-55.057354,24,4.763364
-279.252296,78,4.914747
-345.03871,109,5.11484
-203.646305,62,5.231196
-46.118785,12,5.252458
-72.909137,26,5.299364
-92.474059,37,5.367432
-72.228504,31,5.423707
-50.249726,15,5.450506
-43.838,17,5.481734
-3142.430826,1000,8.647099
-48.199559,29,8.706691
-211.308151,67,8.84519
-57.92734,26,8.901732
-224.134934,69,9.034628
-40.31088,15,9.062442
-44.426284,13,9.094869
-89.31276,36,9.169402
-560.068901,199,9.576188
-169.250126,56,9.691687
-91.771483,45,9.801918
-111.118442,32,9.87774
-54.778063,24,9.937354
-113.610783,40,10.030291
-52.77418,23,10.08292
-155.199976,41,10.17335
-216.606739,63,10.322371
-32.661012,12,10.350537
-75.08044,29,10.414833
-54.923913,20,10.469198
-364.196925,98,10.693442
-2966.106905,1000,14.031404
-67.587385,20,14.071969
-3045.833729,1000,16.166971
-82.900739,24,16.214727
-136.638746,42,16.300694
-34.472629,18,16.338055
-71.6844,40,16.413414
-121.593125,39,16.489511
-241.44342,81,16.650625
-270.56732,78,16.800206
-273.220403,78,18.18705
-2813.239192,1000,20.23197
-405.782433,141,20.493096
-76.609506,25,20.545277
-139.176438,50,20.650699
-49.003212,19,20.691233
-103.197088,34,20.767552
-198.963225,63,20.908803
-37.847613,20,20.956897
-44.328953,16,20.993032
-118.433377,37,21.075204
-230.878254,69,21.236384
-46.066205,21,21.285127
-61.439162,24,21.336282
-176.252622,95,21.549133
-225.228523,72,21.720376
-199.658185,63,21.867166
-155.20485,49,21.969755
-131.084227,43,22.057087
-665.678572,221,23.964739
-255.925345,93,24.161663
-2931.6729,1000,26.3483
-119.430865,39,26.430257
-3106.683646,1000,29.807968
-75.120863,33,29.867483
-2971.342309,1000,31.804921
-101.360743,27,31.853397
-159.62153,61,31.965
-395.037662,97,32.138756
-175.791616,62,32.251067
-231.293004,76,32.405616
-182.551786,70,32.545926
-60.762375,20,32.585285
-510.8941,129,32.852219
-180.222612,58,32.967776
-75.84417,26,33.020994
-158.214542,53,33.126734
-2992.214503,1000,36.317714
-44.562293,19,36.355558
-205.740988,62,36.481825
-38.702714,14,36.510109
-136.08786,46,36.602108
-232.3387,85,36.76206
-174.893678,66,36.881459
-135.929182,44,36.960412
-247.451138,99,37.139681
-48.059321,16,37.168981
-78.911985,31,37.225941
-101.048802,25,37.272652
-3123.252467,1000,40.591177
-327.226714,113,40.814836
-310.110338,119,41.051045
-419.602526,152,41.350348
-78.061482,20,41.392028
-88.295472,45,41.48331
-65.900019,22,41.527336
-38.792005,13,41.553218
-235.747996,81,41.713543
-38.341989,12,41.737489
-31.07548,17,41.77126
-215.522265,75,41.91884
-101.623224,32,41.976094
-163.356425,67,42.09761
-111.615781,35,42.160564
-431.421403,150,42.43015
-222.162532,73,42.561058
-100.18437,31,42.617567
-51.717378,15,42.644933
-57.484032,23,42.686146
-172.410432,66,42.804736
-82.595302,26,42.852367
-50.677316,17,42.883176
-162.846172,45,42.964686
-186.239098,111,43.163504
-89.455115,32,43.226657
-84.694626,34,43.297333
-359.150849,144,43.597322
-143.000396,56,43.715992
-172.190511,48,43.817737
-42.513541,15,43.848559
-163.792276,42,43.937291
-50.914703,39,45.367958
-130.680914,46,45.452172
-267.668474,96,45.627419
-125.625144,43,45.706041
-65.548711,29,45.759712
-86.895119,28,45.810688
-104.28879,38,45.87844
-83.723064,20,45.914176
-57.929041,17,45.946749
-348.213893,109,46.175866
-247.791827,73,46.328227
-2883.442505,1000,48.273085
-35.664617,19,48.307244
-2950.729611,1000,51.625634
-118.117798,33,51.690528
-197.380215,62,51.812631
-56.742344,23,51.858938
-39.453868,13,51.885364
-566.425978,180,52.25117
-225.335304,64,52.379984
-206.296546,53,52.485917
-80.969753,17,52.519669
-73.128994,33,52.578922
-52.499885,30,52.634779
-53.801964,15,52.663137
-206.091624,72,52.792608
-62.161579,21,52.831663
-133.466825,42,52.907629
-180.455217,56,53.009384
-102.906938,36,53.074614
-236.904911,81,53.221798
-98.703741,27,53.270965
-281.428408,91,53.43558
-67.362446,27,53.485268
-34.799572,12,53.507295
-92.237887,33,53.568582
-338.271836,128,53.802111
-86.542842,26,53.850672
-333.244295,94,54.022
-266.930518,71,54.151397
-309.287253,91,54.337106
-245.032357,80,54.498683
-82.723734,36,54.572243
-71.129364,23,56.078876
-160.723774,52,56.172913
-85.967835,33,56.234008
-148.310232,45,56.316745
-55.172288,18,56.349335
-220.148465,80,56.496141
-304.021203,94,56.679304
-2756.021495,893,58.398592
-24.693156,12,58.421113
-146.90598,47,58.508591
-351.311315,103,58.698678
-89.816289,40,58.770954
-192.971378,70,58.900087
-149.142393,41,58.975894
-156.442667,52,59.070351
-116.08844,41,59.1438
-3022.988061,1000,62.540828
-226.645396,102,62.737132
-35.561675,9,62.754574
-238.723518,69,62.887089
-538.031967,201,63.261321
-131.895955,54,63.359316
-199.303063,74,63.49294
-193.159933,60,63.601671
-189.113717,81,63.746866
-120.095454,47,63.831019
-156.170243,59,63.937263
-271.845718,65,64.053315
-252.34311,79,64.19543
-65.139994,37,64.261134
-82.883582,32,64.319109
-54.37623,17,64.349898
-311.249416,106,64.537421
-42.515377,14,64.562837
-582.57854,207,64.933451
-24.328022,12,64.954596
-51.193972,21,64.992367
-31.756222,10,65.010757
-37.931388,12,65.032038
-79.258089,26,65.084101
-366.051052,99,66.776146
-1433.764189,455,67.645415
-54.610518,25,67.695861
-143.300253,50,67.796431
-76.889884,29,67.854065
-39.59838,16,67.88601
-33.922151,13,67.911934
-38.299778,12,67.935597
-180.711123,85,68.105816
-73.210989,21,68.147824
-67.668636,32,68.211484
-400.299682,150,68.501611
-214.664122,88,68.662071
-115.876055,48,68.749613
-2966.224414,1000,72.1129
-62.879739,17,72.143847
-34.032628,14,72.169759
-50.691383,15,72.196841
-170.594128,69,72.321605
-188.191312,72,72.453539
-80.642144,33,72.522291
-2941.392182,1000,74.47241
-131.501009,38,74.543517
-51.175882,23,74.586951
-80.8961,20,74.625165
-50.806538,19,74.661315
-59.600879,23,74.702853
-256.240147,65,74.820173
-64.412688,22,74.85992
-55.897676,17,74.890431
-2972.356351,1000,78.330994
-111.259976,39,78.407431
-43.067343,11,78.430136
-59.300786,34,78.498904
-144.218804,48,78.594425
-448.661418,135,78.864519
-2903.110769,1000,80.70278
-60.17333,16,80.731656
-141.094041,37,80.797365
-107.625205,40,80.868772
-168.793608,49,80.957433
-55.346871,25,81.003271
-62.607931,20,81.041797
-552.670575,145,81.304328
-268.542549,85,83.016237
-36.027147,10,83.037225
-167.468209,50,83.142886
-113.888057,46,83.240472
-208.293155,59,83.365664
-204.123067,71,83.513497
-93.856977,55,83.622579
-61.287984,25,83.672577
-2618.287017,880,85.323524
-98.822721,32,85.381111
-2925.53221,1000,88.837869
-69.106247,29,88.895115
-2965.830603,1000,90.754705
-59.648503,34,90.816127
-178.131884,60,90.924242
-95.889148,51,91.016263
-339.890535,113,91.218619
-45.512117,22,91.257991
-53.571869,12,91.279556
-89.703523,23,91.320775
-170.899372,55,91.419513
-58.337566,15,91.447532
-190.148566,57,91.549763
-98.605699,28,91.60124
-239.84815,75,91.738856
