#{"t_start": 1524090415.2509892, "env_id": "Ant-v2"}
r,l,t
-191.759053,49,1.698777
-179.273259,47,1.759927
-294.651733,84,1.867879
-43.722054,13,1.884924
-132.26563,52,1.952021
-133.978562,35,1.997024
-71.346211,24,2.028114
-55.715264,17,2.050013
-34.450646,12,2.066158
-59.795955,13,2.083567
-2975.453746,1000,3.387444
-23.518723,13,3.404154
-144.721668,47,3.464708
-109.055634,46,3.523542
-55.057354,24,3.554164
-279.252296,78,3.654362
-345.03871,109,3.819094
-203.646305,62,3.899961
-46.118785,12,3.915464
-72.909137,26,3.948529
-92.474059,37,3.995875
-72.228504,31,4.035344
-50.249726,15,4.05473
-43.838,17,4.076383
-3087.65946,1000,6.231242
-63.665272,30,6.270446
-57.362039,16,6.291806
-97.096602,26,6.325608
-37.961334,11,6.340032
-100.049855,57,6.411975
-120.425718,44,6.470248
-75.792911,26,6.503503
-39.655105,11,6.517564
-42.092936,16,6.538359
-49.460766,17,6.560066
-204.619454,47,6.619447
-366.555666,127,6.780344
-388.594829,141,6.959717
-111.655034,39,7.009024
-118.935951,45,7.066278
-46.192242,20,7.091772
-95.465899,27,7.126306
-29.326311,20,7.151786
-84.116853,28,7.189032
-46.940303,14,7.206804
-95.437586,49,7.268443
-103.042527,30,7.306712
-212.15108,70,7.395064
-2788.849877,1000,9.59621
-165.453598,53,9.663948
-47.710674,14,9.682148
-263.443521,99,9.808306
