#{"t_start": 1524091982.1451426, "env_id": "HalfCheetah-v2"}
r,l,t
-636.202722,1000,2.596682
-627.174022,1000,3.550779
-618.153154,1000,5.366837
-668.002672,1000,6.323047
-611.266715,1000,8.209385
-574.342941,1000,9.153865
-642.268087,1000,10.949209
-642.308737,1000,11.897298
-523.390851,1000,13.755486
-603.139529,1000,14.700067
-560.786251,1000,16.509733
-503.845955,1000,17.443015
-670.955197,1000,19.331106
-552.766645,1000,20.290366
-498.414639,1000,22.131522
-621.811094,1000,23.091474
-558.491536,1000,25.022285
-567.807688,1000,26.023982
-445.425911,1000,27.887631
-508.757543,1000,28.851563
-417.986976,1000,30.767702
-359.977882,1000,31.731611
-485.732156,1000,33.588365
-368.134546,1000,34.534197
-542.655806,1000,36.507557
-458.157383,1000,37.504775
-493.589432,1000,39.36343
-430.080028,1000,40.34587
-482.821516,1000,42.249451
-362.8149,1000,43.22234
-464.108382,1000,45.191557
-442.030971,1000,46.187047
-375.849808,1000,48.147418
-299.488867,1000,49.117415
-363.2239,1000,50.954061
-318.743369,1000,51.936574
-304.823341,1000,53.770271
-415.287049,1000,54.717371
-315.862754,1000,56.554733
-279.208551,1000,57.500834
-333.596158,1000,59.359149
-273.61363,1000,60.349674
-285.540616,1000,61.331992
-352.12856,1000,63.150641
-283.057201,1000,64.305312
-410.131792,1000,66.29312
-300.724369,1000,67.303421
-206.8929,1000,69.184034
-521.738119,1000,70.174844
-233.388282,1000,72.061162
-260.23196,1000,73.012136
-266.456378,1000,74.854409
-280.261216,1000,75.839308
-167.698846,1000,77.783793
-267.054302,1000,78.809736
-236.721315,1000,80.613528
-240.584679,1000,81.608812
-220.162561,1000,83.507564
-220.711957,1000,84.515671
-190.997492,1000,86.327821
-162.783655,1000,87.3402
-94.625855,1000,89.237251
-139.055514,1000,90.216235
-128.219481,1000,92.054279
-113.071261,1000,92.998387
-73.835884,1000,94.883636
-204.784533,1000,95.874153
-58.687594,1000,97.706904
-43.54036,1000,98.723029
-22.655477,1000,100.75599
-8.376444,1000,101.725626
-23.414325,1000,103.6569
-17.312802,1000,104.815708
16.671615,1000,106.813943
13.076655,1000,107.753462
33.257882,1000,109.602006
45.497953,1000,110.561344
-6.701495,1000,112.453531
80.568493,1000,113.446561
