#{"t_start": 1524090431.0450215, "env_id": "Hopper-v2"}
r,l,t
5.40834,17,1.630404
11.394587,13,1.645383
6.972149,13,1.658527
15.43914,17,1.675993
7.574722,18,1.694332
10.321374,12,1.706409
19.15061,21,1.728059
23.106923,21,1.749581
10.342857,16,1.765957
17.462215,35,1.801401
19.228206,24,1.825944
6.705506,9,1.835011
7.706196,11,1.846189
25.042636,22,1.868467
5.771373,13,1.881745
6.849197,15,1.896993
6.310642,11,1.908026
48.804122,37,1.945462
13.976471,16,1.961635
12.13142,14,1.975913
10.952821,17,1.993203
6.319944,9,2.002263
40.181701,32,2.034872
7.120942,10,2.045208
16.688176,28,2.074751
6.38561,10,2.085093
10.785389,18,2.103579
136.270462,81,2.185451
15.870585,24,2.209964
31.691077,50,2.260297
11.017382,13,2.27336
5.82438,21,2.294849
10.314557,12,2.306853
17.355482,31,2.33845
9.405126,14,2.352719
3.898821,8,2.361122
12.720719,14,2.375284
19.018647,19,2.394746
8.705196,14,2.409381
15.637969,17,2.426653
22.812452,21,2.447901
17.653032,19,2.467168
9.188898,13,2.480328
9.603938,15,2.495627
6.787192,25,2.521221
24.070013,21,2.542664
32.901844,56,2.600508
8.612027,13,2.613922
14.015585,17,2.631142
13.073378,15,2.650322
52.670901,39,2.692316
6.694993,12,2.70446
8.390762,11,2.715822
31.240408,27,2.745405
9.831077,13,2.759019
9.024347,11,2.769945
6.604094,22,2.792295
5.664471,19,2.811591
11.109767,16,2.827697
6.287501,10,2.837736
14.426088,19,2.856997
8.55678,11,2.868144
6.185738,9,2.877316
29.692788,26,2.903429
11.552158,21,2.924772
11.238749,13,2.938192
20.194971,19,2.957518
13.734843,20,2.977987
8.327151,12,2.990101
20.965784,23,3.013661
4.512176,10,3.023686
7.495912,12,3.036024
8.558211,14,3.05026
7.535886,10,3.060452
29.348586,30,3.090692
12.723376,17,3.10814
17.98993,27,3.135658
5.42501,8,3.143853
17.657028,25,3.16913
11.113164,18,3.187188
16.518045,17,3.204504
8.665461,16,3.220826
6.404382,9,3.229999
6.170365,9,3.239218
11.947283,15,3.254285
10.79057,24,3.279873
7.017783,14,3.294229
6.353163,21,3.315333
10.001744,23,3.33981
6.033302,8,3.34849
9.405978,11,3.360142
15.350685,22,3.383089
12.64033,21,3.405118
9.702892,15,3.420983
7.07052,10,3.431432
7.796139,12,3.444383
15.94162,19,3.464482
17.443642,17,3.482453
11.057,13,3.496433
16.785504,22,3.519623
8.553353,12,3.532039
6.969022,10,3.542879
6.373969,25,3.569325
4.103532,13,3.583214
6.591147,12,3.596046
19.865785,21,3.619126
14.575111,22,3.643892
11.285698,14,3.658698
6.876105,9,3.667989
4.55457,8,3.676426
5.433946,8,3.684611
23.436442,30,3.716745
20.120471,19,4.622346
25.040606,33,4.657014
23.723887,21,4.678852
11.99328,24,4.70357
16.110854,17,4.720993
10.83683,15,4.736549
8.282659,18,4.754987
7.972218,22,4.777645
