#{"t_start": 1524086290.5772145, "env_id": "Ant-v2"}
r,l,t
-191.759053,49,1.693229
-179.273259,47,1.754129
-294.651733,84,1.860278
-43.722054,13,1.876912
-132.26563,52,1.943592
-133.978562,35,1.988925
-71.346211,24,2.019946
-55.715264,17,2.041794
-34.450646,12,2.058134
-59.795955,13,2.075556
-2975.453746,1000,3.367984
-23.518723,13,3.384641
-144.721668,47,3.444187
-109.055634,46,3.503466
-55.057354,24,3.534499
-279.252296,78,3.633273
-345.03871,109,3.772105
-203.646305,62,3.850735
-46.118785,12,3.867004
-72.909137,26,3.90062
-92.474059,37,3.948104
-72.228504,31,3.987504
-50.249726,15,4.006759
-43.838,17,4.028497
-3087.65946,1000,6.218929
-63.665272,30,6.256836
-57.362039,16,6.278712
-97.096602,26,6.311892
-37.961334,11,6.32624
-100.049855,57,6.399734
-120.425718,44,6.45566
-75.792911,26,6.488388
-39.655105,11,6.50256
-42.092936,16,6.522971
-49.460766,17,6.544641
-204.619454,47,6.603961
-366.555666,127,6.764734
-388.594829,141,6.943932
-111.655034,39,6.993399
-118.935951,45,7.050375
-46.192242,20,7.07577
-95.465899,27,7.110629
-29.326311,20,7.136504
-84.116853,28,7.171831
-46.940303,14,7.189613
-95.437586,49,7.251923
-103.042527,30,7.289719
-212.15108,70,7.378096
-2764.708946,1000,9.591929
-428.120242,136,9.764364
-70.600707,24,9.794881
-122.229457,57,9.866528
-118.226183,43,9.922796
-142.107637,49,9.985436
-2809.698775,1000,11.333012
-128.687099,44,11.416064
-94.2492,33,12.428675
-70.508028,15,12.45018
-49.082807,14,12.4696
-100.205342,35,12.519625
-2570.466251,1000,13.968485
-229.086984,78,14.067322
-2649.799287,1000,16.27321
-100.303369,33,16.314891
-176.082665,55,16.384205
-63.831333,26,16.417205
-28.587241,12,16.432596
-118.557828,38,16.480381
-177.143704,65,16.561951
-31.259293,13,16.578344
-230.546389,91,16.693571
-331.08938,111,16.834595
-2684.981404,1000,18.115995
-69.550374,21,18.143034
-66.182414,20,18.169084
-536.738876,197,18.416749
-163.091579,72,18.507327
-154.40845,40,18.558899
-227.586356,109,18.695473
-248.610036,95,19.718301
-25.755535,11,19.732313
-72.769367,17,19.754935
-161.942323,76,19.851001
-97.098444,33,19.892426
-142.919357,75,19.987456
-67.463012,30,20.025265
-163.914233,53,20.094503
-81.923389,33,20.138553
-270.47458,70,20.227933
-55.453802,25,20.260152
-32.383764,11,20.274825
-110.965797,57,20.349167
-217.740023,72,20.442317
-37.155763,12,20.458051
-204.17984,61,20.536562
-48.048175,16,20.557839
-2682.432175,1000,21.842392
-165.104555,58,21.915953
-86.152139,49,21.979253
