#{"t_start": 1524074887.627351, "env_id": "Ant-v2"}
r,l,t
-191.759053,49,1.880172
-179.273259,47,1.965143
-294.651733,84,2.117266
-43.722054,13,2.139969
-132.26563,52,2.234237
-133.978562,35,2.297934
-71.346211,24,2.343237
-55.715264,17,2.376021
-34.450646,12,2.398652
-59.795955,13,2.423652
-2975.453746,1000,4.379903
-23.518723,13,4.409124
-144.721668,47,4.51504
-109.055634,46,4.619087
-55.057354,24,4.673242
-279.252296,78,4.848394
-345.03871,109,5.097021
-203.646305,62,5.240929
-46.118785,12,5.268708
-72.909137,26,5.328602
-92.474059,37,5.412351
-72.228504,31,5.481321
-50.249726,15,5.515357
-43.838,17,5.552275
-3087.65946,1000,8.80863
-63.665272,30,8.861997
-57.362039,16,8.891615
-97.096602,26,8.937951
-37.961334,11,8.95788
-100.049855,57,9.060778
-120.425718,44,9.139439
-75.792911,26,9.185439
-39.655105,11,9.204792
-42.092936,16,9.233791
-49.460766,17,9.269069
-204.619454,47,9.355437
-366.555666,127,9.612784
-388.594829,141,9.926795
-111.655034,39,10.018907
-118.935951,45,10.117173
-46.192242,20,10.161899
-95.465899,27,10.221873
-29.326311,20,10.266197
-84.116853,28,10.328169
-46.940303,14,10.358911
-95.437586,49,10.466502
-103.042527,30,10.532432
-212.15108,70,10.686959
-2764.708946,1000,13.950396
-428.120242,136,14.193478
-70.600707,24,14.236705
-122.229457,57,14.337468
-118.226183,43,14.413474
-142.107637,49,14.501493
-2809.698775,1000,16.660566
-128.687099,44,16.743402
-94.2492,33,18.263796
-70.508028,15,18.290874
-49.082807,14,18.315807
-100.205342,35,18.37813
-2570.466251,1000,20.192263
-229.086984,78,20.33283
-2649.799287,1000,23.870092
-100.303369,33,23.929782
-176.082665,55,24.029311
-63.831333,26,24.076826
-28.587241,12,24.098927
-118.557828,38,24.168473
-177.143704,65,24.286405
-31.259293,13,24.309916
-230.546389,91,24.475074
-331.08938,111,24.675881
-2684.981404,1000,26.636834
-69.550374,21,26.684753
-66.182414,20,26.730443
-536.738876,197,27.173561
-163.091579,72,27.339081
-154.40845,40,27.431581
-227.586356,109,27.650039
-248.610036,95,29.264934
-25.755535,11,29.284791
-72.769367,17,29.315461
-161.942323,76,29.452098
-97.098444,33,29.510777
-142.919357,75,29.645362
-67.463012,30,29.69934
-163.914233,53,29.797202
-81.923389,33,29.857726
-270.47458,70,29.9856
-55.453802,25,30.031066
-32.383764,11,30.050629
-110.965797,57,30.151919
-217.740023,72,30.279766
-37.155763,12,30.301315
-204.17984,61,30.410089
-48.048175,16,30.439487
-2682.432175,1000,32.431111
