#{"t_start": 1524108344.426545, "env_id": "hc-v3"}
r,l,t
-591.299048,1000,2.674274
-727.872124,1000,3.694942
-514.993803,1000,5.652696
-610.373154,1000,6.669205
-518.722007,1000,8.657609
-777.759982,1000,9.713242
-572.364836,1000,11.688101
-629.661041,1000,12.726757
-777.417685,1000,14.695904
-579.931466,1000,15.711178
-436.739382,1000,17.621497
-530.133852,1000,18.62843
-791.449454,1000,20.555827
-560.756519,1000,21.611576
-561.444261,1000,23.538191
-514.093943,1000,24.5999
-326.55457,1000,26.557317
-439.068394,1000,27.559839
-606.873398,1000,29.5428
-530.070615,1000,30.650211
-434.752156,1000,32.577725
-472.495692,1000,33.575015
-431.879864,1000,35.541557
-594.510091,1000,36.573136
-543.640652,1000,38.617922
-497.226918,1000,39.656892
-484.212599,1000,41.868
-457.265749,1000,42.900866
-487.129826,1000,45.260151
-453.18157,1000,46.395892
-430.192632,1000,48.411404
-495.488541,1000,49.400746
-357.050373,1000,51.3757
-433.990609,1000,52.366212
-430.623991,1000,54.337658
-432.844671,1000,55.340973
-361.884948,1000,57.303104
-384.13275,1000,58.31097
-430.501844,1000,60.319012
-360.16541,1000,61.310569
-394.11024,1000,63.253516
-343.134842,1000,64.256173
-408.681012,1000,65.286226
-298.364562,1000,67.299037
-413.597152,1000,68.299469
-387.685809,1000,70.216512
-385.591077,1000,71.210098
-360.568503,1000,73.10944
-377.302002,1000,74.108435
-352.015492,1000,76.024012
-325.275118,1000,77.020955
-276.04888,1000,78.934774
-339.027832,1000,79.93646
-261.920172,1000,81.837972
-280.869022,1000,82.840237
-295.708687,1000,84.794864
-284.732918,1000,85.85297
-309.504625,1000,87.837105
-267.442268,1000,88.890639
-261.403938,1000,90.871902
-258.089925,1000,91.887878
-319.513187,1000,93.681119
-264.025848,1000,94.614334
-241.796974,1000,96.492238
-318.498426,1000,97.442923
-213.946544,1000,99.356611
-288.231495,1000,100.315446
-181.815304,1000,102.239718
-229.515218,1000,103.272831
-186.709862,1000,105.328421
-189.237384,1000,106.260166
-181.040293,1000,108.312078
-173.897465,1000,109.340897
-164.922388,1000,111.234365
-213.9933,1000,112.184205
-194.513801,1000,114.028033
-164.805648,1000,114.967934
-101.654652,1000,116.911024
-95.212095,1000,117.841328
-110.714072,1000,119.712151
-106.980599,1000,120.651889
-67.813659,1000,122.498747
-139.076448,1000,123.425497
-90.938892,1000,125.200576
-135.432273,1000,126.130154
-66.30067,1000,127.069336
-39.107901,1000,128.86387
-110.96535,1000,129.813117
50.235345,1000,131.68554
-31.364066,1000,132.838561
