#{"t_start": 1524093148.4334223, "env_id": "hc-v3"}
r,l,t
-636.202722,1000,2.577
-627.174022,1000,3.521235
-618.153154,1000,5.304444
-668.002672,1000,6.233418
-611.266715,1000,8.080085
-574.342941,1000,9.013546
-642.268087,1000,10.798842
-642.308737,1000,11.764118
-523.390851,1000,13.626784
-603.139529,1000,14.566556
-560.786251,1000,16.357689
-503.845955,1000,17.292731
-670.955197,1000,19.148618
-552.766645,1000,20.087675
-498.414639,1000,21.922295
-621.811094,1000,22.935319
-558.491536,1000,24.978446
-567.807688,1000,25.993639
-445.425911,1000,27.852525
-508.757543,1000,28.820953
-417.986976,1000,30.734346
-359.977882,1000,31.676204
-485.732156,1000,33.484099
-368.134546,1000,34.427857
-542.655806,1000,36.281732
-458.157383,1000,37.211252
-493.589432,1000,38.992004
-430.080028,1000,39.919082
-482.821516,1000,41.76401
-362.8149,1000,42.699322
-464.108382,1000,44.489673
-442.030971,1000,45.421448
-375.849808,1000,47.27143
-299.488867,1000,48.209901
-363.2239,1000,49.998051
-318.743369,1000,50.965835
-304.823341,1000,52.912434
-415.287049,1000,53.858601
-315.862754,1000,55.644409
-279.208551,1000,56.58709
-333.596158,1000,58.433012
-273.61363,1000,59.387876
-285.540616,1000,60.326852
-352.12856,1000,62.130543
-283.057201,1000,63.080086
-410.131792,1000,64.945978
-300.724369,1000,65.88442
-206.8929,1000,67.726237
-521.738119,1000,68.693061
-233.388282,1000,70.67159
-260.23196,1000,71.70904
-266.456378,1000,73.77282
-280.261216,1000,74.755841
-167.698846,1000,76.894651
-267.054302,1000,78.204148
-236.721315,1000,80.385451
-240.584679,1000,81.527431
-220.162561,1000,83.403834
-220.711957,1000,84.345896
-190.997492,1000,86.193563
-162.783655,1000,87.149938
-94.625855,1000,89.03064
-139.055514,1000,90.012204
-128.219481,1000,91.824449
-113.071261,1000,92.762918
-73.835884,1000,94.624417
-204.784533,1000,95.558697
-58.687594,1000,97.346911
-43.54036,1000,98.280756
-22.655477,1000,100.120095
-8.376444,1000,101.059452
-23.414325,1000,102.84314
-17.312802,1000,103.781668
16.671615,1000,105.634974
13.076655,1000,106.579617
33.257882,1000,108.385951
45.497953,1000,109.339842
-6.701495,1000,111.199904
80.568493,1000,112.137386
49.957004,1000,113.942609
173.660174,1000,114.879813
122.77188,1000,116.740418
120.151356,1000,117.688849
227.852421,1000,119.49315
198.621774,1000,120.434327
223.464925,1000,121.386144
192.093378,1000,123.246468
64.3945,1000,124.190016
218.600352,1000,125.998812
273.308386,1000,126.937585
243.833412,1000,128.801681
304.54477,1000,129.745066
286.666569,1000,131.554052
198.998751,1000,132.498233
306.081026,1000,134.357044
295.272407,1000,135.297327
366.95607,1000,137.115197
361.153802,1000,138.115011
377.111409,1000,140.057537
314.139736,1000,141.025568
351.13736,1000,142.844828
352.403231,1000,143.808005
368.801658,1000,145.777344
374.045371,1000,146.747587
423.729464,1000,148.591571
396.330102,1000,149.562839
437.125292,1000,151.523085
368.434742,1000,152.482115
489.193661,1000,154.32771
485.738632,1000,155.284057
492.255597,1000,157.214449
322.132865,1000,158.199928
556.893652,1000,160.162456
460.655476,1000,161.147991
438.920099,1000,163.180355
490.443755,1000,164.307242
539.84657,1000,166.197291
602.574571,1000,167.206598
450.77359,1000,169.196819
501.126944,1000,170.15188
562.92315,1000,171.973047
583.834407,1000,172.917397
618.861771,1000,174.839998
520.243024,1000,175.784931
557.732961,1000,177.575417
612.01026,1000,178.51529
602.928012,1000,180.440784
514.041448,1000,181.386225
592.627596,1000,182.32571
676.869977,1000,184.136538
581.679122,1000,185.094499
721.925633,1000,187.011104
653.292757,1000,187.952699
687.351986,1000,189.768052
658.303698,1000,190.706831
642.546773,1000,192.644497
711.361857,1000,193.628044
666.955514,1000,195.562449
698.786969,1000,196.585083
667.94051,1000,198.547576
731.218032,1000,199.503749
665.249778,1000,201.300145
752.87181,1000,202.23425
677.884673,1000,204.142222
731.301642,1000,205.108029
608.140873,1000,207.066413
760.464018,1000,208.006892
659.697323,1000,209.932888
757.515813,1000,210.881368
683.614518,1000,212.702661
732.986091,1000,213.658894
712.790368,1000,215.606649
773.498607,1000,216.557729
774.50951,1000,218.350054
783.865677,1000,219.287178
812.54858,1000,221.215183
810.549483,1000,222.166953
773.63848,1000,223.98231
754.398275,1000,224.928639
754.996065,1000,226.851038
788.53954,1000,227.801313
828.977747,1000,229.623932
840.290756,1000,230.56915
786.505031,1000,232.491104
803.706623,1000,233.44413
863.41644,1000,235.262733
821.18592,1000,236.21338
876.564594,1000,238.14384
844.40197,1000,239.10092
842.982084,1000,240.939582
844.998441,1000,241.874587
861.393847,1000,242.810708
746.713155,1000,244.765703
841.04068,1000,245.708379
897.63077,1000,247.512017
896.43557,1000,248.46155
799.856309,1000,250.400303
848.192098,1000,251.349099
862.23038,1000,253.144441
811.094212,1000,254.081448
848.359989,1000,255.991971
857.72252,1000,256.936681
869.395515,1000,258.754303
805.472971,1000,259.702662
874.769734,1000,261.643684
893.615249,1000,262.631559
938.552798,1000,264.44973
671.075846,1000,265.391636
960.268737,1000,267.302271
924.824369,1000,268.243182
941.592788,1000,270.04246
657.940088,1000,271.031053
943.445409,1000,272.936078
814.358334,1000,273.891411
939.449578,1000,275.686302
923.42425,1000,276.626771
874.649436,1000,278.532965
880.515864,1000,279.475918
970.267828,1000,281.287061
925.273949,1000,282.232609
789.50592,1000,284.167693
869.626901,1000,285.119164
881.242065,1000,286.944713
937.252498,1000,287.891915
729.010317,1000,289.826915
982.580873,1000,290.770314
968.348657,1000,292.563363
955.549718,1000,293.506061
922.258822,1000,295.405359
980.875396,1000,296.353884
1040.27683,1000,298.143315
930.275854,1000,299.080619
1020.687154,1000,300.994696
979.025241,1000,301.944772
822.001864,1000,302.890325
928.291834,1000,304.705003
954.735047,1000,305.642308
980.206869,1000,307.588354
971.655953,1000,308.526864
1064.963536,1000,310.324353
1067.240626,1000,311.255954
1044.204508,1000,313.22355
1020.046057,1000,314.167364
1041.873187,1000,315.958569
1027.364113,1000,316.893819
931.996794,1000,318.832506
1026.933413,1000,319.783569
1038.858162,1000,321.602603
1015.007268,1000,322.553575
971.927938,1000,324.493301
860.470955,1000,325.443529
1053.906925,1000,327.263894
1018.346697,1000,328.213047
974.411095,1000,330.138236
1034.791009,1000,331.098452
1021.307318,1000,332.898808
1070.265003,1000,333.853503
1077.799229,1000,335.779517
1057.136152,1000,336.729794
1069.858991,1000,338.550851
